datetime,throttle
2023-08-13 14:13:56.0,40
2023-08-13 14:13:56.3,30
2023-08-13 14:13:56.6,40
2023-08-13 14:13:56.8,30
2023-08-13 14:13:57.1,20
2023-08-13 14:13:57.4,10
2023-08-13 14:13:57.7,0
2023-08-13 14:13:57.9,-10
2023-08-13 14:13:58.2,0
2023-08-13 14:13:58.5,-10
2023-08-13 14:13:58.8,-20
2023-08-13 14:13:59.0,-10
2023-08-13 14:13:59.3,-20
2023-08-13 14:13:59.6,-30
2023-08-13 14:13:59.9,-40
2023-08-13 14:14:00.1,-50
2023-08-13 14:14:00.4,-60
2023-08-13 14:14:00.7,-70
2023-08-13 14:14:01.0,-80
2023-08-13 14:14:01.3,-90
2023-08-13 14:14:01.5,-100
2023-08-13 14:14:01.8,-100
2023-08-13 14:14:01.9,-90
2023-08-13 14:14:02.2,-80
2023-08-13 14:14:02.4,-70
2023-08-13 14:14:02.7,-60
2023-08-13 14:14:03.0,-50
2023-08-13 14:14:03.3,-40
2023-08-13 14:14:03.6,-30
2023-08-13 14:14:03.8,-20
2023-08-13 14:14:04.1,-10
2023-08-13 14:14:04.4,0
2023-08-13 14:14:04.7,10
2023-08-13 14:14:05.0,20
2023-08-13 14:14:05.2,30
2023-08-13 14:14:05.5,40
2023-08-13 14:14:05.8,50
2023-08-13 14:14:06.1,60
2023-08-13 14:14:06.3,50
2023-08-13 14:14:06.6,40
2023-08-13 14:14:06.9,50
2023-08-13 14:14:07.2,40
2023-08-13 14:14:07.5,30
2023-08-13 14:14:07.7,40
2023-08-13 14:14:08.0,30
2023-08-13 14:14:08.3,20
2023-08-13 14:14:08.6,10
2023-08-13 14:14:08.8,0
2023-08-13 14:14:09.1,-10
2023-08-13 14:14:09.4,-20
2023-08-13 14:14:09.7,-30
2023-08-13 14:14:09.9,-40
2023-08-13 14:14:10.2,-50
2023-08-13 14:14:10.5,-40
2023-08-13 14:14:10.8,-30
2023-08-13 14:14:11.0,-20
2023-08-13 14:14:11.3,-10
2023-08-13 14:14:11.6,0
2023-08-13 14:14:11.9,10
2023-08-13 14:14:12.2,20
2023-08-13 14:14:12.4,30
2023-08-13 14:14:12.7,40
2023-08-13 14:14:13.0,50
2023-08-13 14:14:13.2,60
2023-08-13 14:14:13.5,70
2023-08-13 14:14:13.8,80
2023-08-13 14:14:14.1,90
2023-08-13 14:14:14.3,100
2023-08-13 14:14:14.6,100
2023-08-13 14:14:14.7,100
2023-08-13 14:14:14.7,100
2023-08-13 14:14:14.8,100
2023-08-13 14:14:14.9,100
2023-08-13 14:14:14.9,100
2023-08-13 14:14:15.0,100
2023-08-13 14:14:15.1,100
2023-08-13 14:14:15.2,100
2023-08-13 14:14:15.3,100
2023-08-13 14:14:15.3,100
2023-08-13 14:14:15.4,100
2023-08-13 14:14:15.5,100
2023-08-13 14:14:15.5,100
2023-08-13 14:14:15.6,100
2023-08-13 14:14:15.7,100
2023-08-13 14:14:15.8,100
2023-08-13 14:14:15.8,100
2023-08-13 14:14:15.9,100
2023-08-13 14:14:16.0,100
2023-08-13 14:14:16.0,100
2023-08-13 14:14:16.1,100
2023-08-13 14:14:16.2,100
2023-08-13 14:14:16.3,100
2023-08-13 14:14:16.3,100
2023-08-13 14:14:16.4,100
2023-08-13 14:14:16.5,100
2023-08-13 14:14:16.5,100
2023-08-13 14:14:16.6,100
2023-08-13 14:14:16.7,100
2023-08-13 14:14:16.7,100
2023-08-13 14:14:16.8,100
2023-08-13 14:14:16.9,100
2023-08-13 14:14:16.9,100
2023-08-13 14:14:17.0,100
2023-08-13 14:14:17.1,100
2023-08-13 14:14:17.2,100
2023-08-13 14:14:17.2,100
2023-08-13 14:14:17.3,100
2023-08-13 14:14:17.4,100
2023-08-13 14:14:17.4,100
2023-08-13 14:14:17.5,100
2023-08-13 14:14:17.6,100
2023-08-13 14:14:17.6,100
2023-08-13 14:14:17.7,100
2023-08-13 14:14:17.8,100
2023-08-13 14:14:17.8,100
2023-08-13 14:14:17.9,100
2023-08-13 14:14:18.0,100
2023-08-13 14:14:18.1,100
2023-08-13 14:14:18.1,100
2023-08-13 14:14:18.2,100
2023-08-13 14:14:18.3,100
2023-08-13 14:14:18.3,100
2023-08-13 14:14:18.4,100
2023-08-13 14:14:18.5,100
2023-08-13 14:14:18.5,100
2023-08-13 14:14:18.6,100
2023-08-13 14:14:18.7,100
2023-08-13 14:14:18.7,100
2023-08-13 14:14:18.8,100
2023-08-13 14:14:18.9,100
2023-08-13 14:14:18.9,100
2023-08-13 14:14:19.0,100
2023-08-13 14:14:19.1,100
2023-08-13 14:14:19.2,100
2023-08-13 14:14:19.2,100
2023-08-13 14:14:19.3,100
2023-08-13 14:14:19.4,100
2023-08-13 14:14:19.4,100
2023-08-13 14:14:19.5,100
2023-08-13 14:14:19.6,100
2023-08-13 14:14:19.6,100
2023-08-13 14:14:19.7,100
2023-08-13 14:14:19.8,100
2023-08-13 14:14:19.9,100
2023-08-13 14:14:19.9,100
2023-08-13 14:14:20.0,100
2023-08-13 14:14:20.1,100
2023-08-13 14:14:20.1,100
2023-08-13 14:14:20.2,100
2023-08-13 14:14:20.3,100
2023-08-13 14:14:20.3,100
2023-08-13 14:14:20.4,100
2023-08-13 14:14:20.5,100
2023-08-13 14:14:20.6,90
2023-08-13 14:14:20.8,80
2023-08-13 14:14:21.1,90
2023-08-13 14:14:21.4,80
2023-08-13 14:14:21.7,70
2023-08-13 14:14:21.9,80
2023-08-13 14:14:22.2,70
2023-08-13 14:14:22.5,60
2023-08-13 14:14:22.8,50
2023-08-13 14:14:23.1,40
2023-08-13 14:14:23.3,30
2023-08-13 14:14:23.6,40
2023-08-13 14:14:23.9,30
2023-08-13 14:14:24.2,20
2023-08-13 14:14:24.4,30
2023-08-13 14:14:24.7,20
2023-08-13 14:14:25.0,10
2023-08-13 14:14:25.3,0
2023-08-13 14:14:25.5,-10
2023-08-13 14:14:25.8,-20
2023-08-13 14:14:26.1,-30
2023-08-13 14:14:26.4,-40
2023-08-13 14:14:26.6,-50
2023-08-13 14:14:26.9,-60
2023-08-13 14:14:27.2,-70
2023-08-13 14:14:27.5,-60
2023-08-13 14:14:27.7,-50
2023-08-13 14:14:28.0,-40
2023-08-13 14:14:28.3,-30
2023-08-13 14:14:28.6,-20
2023-08-13 14:14:28.8,-10
2023-08-13 14:14:29.1,0
2023-08-13 14:14:29.4,10
2023-08-13 14:14:29.7,20
2023-08-13 14:14:30.0,30
2023-08-13 14:14:30.3,40
2023-08-13 14:14:30.5,50
2023-08-13 14:14:30.8,60
2023-08-13 14:14:31.1,70
2023-08-13 14:14:31.4,80
2023-08-13 14:14:31.6,90
2023-08-13 14:14:31.9,100
2023-08-13 14:14:32.2,100
2023-08-13 14:14:32.3,100
2023-08-13 14:14:32.4,100
2023-08-13 14:14:32.4,100
2023-08-13 14:14:32.5,100
2023-08-13 14:14:32.6,100
2023-08-13 14:14:32.6,100
2023-08-13 14:14:32.7,100
2023-08-13 14:14:32.8,100
2023-08-13 14:14:32.8,100
2023-08-13 14:14:32.9,100
2023-08-13 14:14:33.0,100
2023-08-13 14:14:33.1,100
2023-08-13 14:14:33.1,100
2023-08-13 14:14:33.2,100
2023-08-13 14:14:33.3,100
2023-08-13 14:14:33.3,100
2023-08-13 14:14:33.4,100
2023-08-13 14:14:33.5,100
2023-08-13 14:14:33.6,100
2023-08-13 14:14:33.6,100
2023-08-13 14:14:33.7,100
2023-08-13 14:14:33.8,100
2023-08-13 14:14:33.8,100
2023-08-13 14:14:33.9,100
2023-08-13 14:14:34.0,100
2023-08-13 14:14:34.1,100
2023-08-13 14:14:34.1,100
2023-08-13 14:14:34.2,100
